,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
57,quake,property,property,governance,post,disaster,quake,area,property,governance,earthquake,city,land,property,reconstruction,disaster,property,post,quake,reconstruction,entitlement,phase,recycling,governance,earthquake,property,disaster,property,entitlement,ownership,reconstruction,property,recycling,reconstruction,landscape,policy,individual,property,governance,quake,area,post,disaster,property,recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,culture,war,culture,politic,discourse,controversy,gender,language,culture,war,conflict,politic,theory,identity,politic,controversy,culture,war,politic,culture,language,discourse,policy,argument,movement,politic,conflict,language,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,culture,war,culture,politic,discourse,controversy,gender,language,culture,war,conflict,politic,theory,identity,politic,controversy,culture,war,politic,culture,language,discourse,policy,argument,movement,politic,conflict,language,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,energy,transition,exclusion,environmentalism,policy,politic,anthropology,imaginary,exclusion,activism,policy,environmentalism,imaginary,ideology,exclusion,imaginary,exclusion,activism,policy,exclusion,identity,politic,exclusion,environmentalism,imaginary,activist,policy,exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,energy,transition,exclusion,environmentalism,policy,politic,anthropology,imaginary,exclusion,activism,policy,environmentalism,imaginary,ideology,exclusion,imaginary,exclusion,activism,policy,exclusion,identity,politic,exclusion,environmentalism,imaginary,activist,policy,exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,energy,transition,exclusion,environmentalism,policy,politic,anthropology,imaginary,exclusion,activism,policy,environmentalism,imaginary,ideology,exclusion,imaginary,exclusion,activism,policy,exclusion,identity,politic,exclusion,environmentalism,imaginary,activist,policy,exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,energy,transition,exclusion,environmentalism,policy,politic,anthropology,imaginary,exclusion,activism,policy,environmentalism,imaginary,ideology,exclusion,imaginary,exclusion,activism,policy,exclusion,identity,politic,exclusion,environmentalism,imaginary,activist,policy,exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,writer,teacher,school,canon,transmission,relationship,writer,teaching,profession,interaction,writer,teacher,archive,function,teaching,century,writer,value,text,writer,school,document,writer,school,teaching,image,writer,datum,document,archive,teacher,writer,school,archive,school,archive,heritage,heritage,school,community,teaching,profession,teacher,actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,century,culture,relation,century,pattern,level,value,evolution,century,representation,domain,literature,representation,reading,text,theory,relationship,representation,productivism,century,literature,ideology,communication,activity,video,content,interaction,campaign,group,productivism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,woman,century,thought,woman,history,thought,politic,domain,relationship,history,relationship,war,politic,work,thinker,time,rise,totalitarianism,identity,reconstruction,politic,violence,vulnerability,resource,war,politic,refugee,crisis,theory,gender,hand,nature,politic,hand,politic,war,peace,democracy,imaginary,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,woman,century,thought,woman,history,thought,politic,domain,relationship,history,relationship,war,politic,work,thinker,time,rise,totalitarianism,identity,reconstruction,politic,violence,vulnerability,resource,war,politic,refugee,crisis,theory,gender,hand,nature,politic,hand,politic,war,peace,democracy,imaginary,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,age,age,birth,age,norm,calendar,age,ageism,gender,class,calendar,age,calendar,age,rise,age,consciousness,function,rise,calendar,age,sample,onset,age,calendar,calendar,age,accuracy,share,population,age,calendar,rise,calendar,age,age,consciousness,age,accuracy,accuracy,information,man,birth,production,birth,city,calendar,age,ageism,age,norm,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,theater,century,century,labor,history,theater,profession,century,activity,labor,theater,problem,century,profession,time,ocean,phase,database,information,database,phase,labor,history,labor,cost,century,history,activity,art,literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,household,house,household,buyer,property,property,scenario,group,policy,group,household,policy,preference,buyer,buyer,group,group,housing,market,policy,share,buyer,homeownership,market,level,buyer,datum,state,art,housing,literature,household,homeownership,housing,market,work,policy,area,member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,relationship,extractivism,socio,movement,politic,transition,economy,growth,metabolism,economy,ecosystem,formation,commodity,growth,accumulation,nature,socio,extractivism,politic,socio,movement,practice,metabolism,relation,production,postgrowth,transition,environmentalism,socio,class,class,socio,conflict,politic,relation,extraction,postgrowth,transition,nature,commodity,socio,area,politic,growth,justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,relationship,extractivism,socio,movement,politic,transition,economy,growth,metabolism,economy,ecosystem,formation,commodity,growth,accumulation,nature,socio,extractivism,politic,socio,movement,practice,metabolism,relation,production,postgrowth,transition,environmentalism,socio,class,class,socio,conflict,politic,relation,extraction,postgrowth,transition,nature,commodity,socio,area,politic,growth,justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,quantum,threat,security,communication,infrastructure,security,law,physics,security,communication,imperfection,device,system,security,vulnerability,information,security,community,initiative,security,proof,device,imperfection,security,proof,imperfection,isolation,implementation,imperfection,work,parameter,security,proof,implementation,security,security,proof,device,imperfection,implementation,parameter,security,proof,life,implementation,security,communication,infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,history,religion,religiosity,influence,religion,history,material,religiosity,practice,history,material,religion,history,history,superstition,material,religion,religion,superstition,entanglement,history,religion,superstition,entanglement,history,diversity,life,transformation,practice,cooperation,community,citizen,citizen,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,history,religion,religiosity,influence,religion,history,material,religiosity,practice,history,material,religion,history,history,superstition,material,religion,religion,superstition,entanglement,history,religion,superstition,entanglement,history,diversity,life,transformation,practice,cooperation,community,citizen,citizen,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,misconduct,corruption,harassment,whistleblower,misconduct,culture,transparency,organization,whistleblowing,fear,whistleblower,ethic,whistleblowing,mechanism,mechanism,whistleblower,culture,whistleblowing,scholarship,mechanism,ethic,behavior,law,literature,culture,whistleblowing,mechanism,whistleblowing,mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,misconduct,corruption,harassment,whistleblower,misconduct,culture,transparency,organization,whistleblowing,fear,whistleblower,ethic,whistleblowing,mechanism,mechanism,whistleblower,culture,whistleblowing,scholarship,mechanism,ethic,behavior,law,literature,culture,whistleblowing,mechanism,whistleblowing,mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,misconduct,corruption,harassment,whistleblower,misconduct,culture,transparency,organization,whistleblowing,fear,whistleblower,ethic,whistleblowing,mechanism,mechanism,whistleblower,culture,whistleblowing,scholarship,mechanism,ethic,behavior,law,literature,culture,whistleblowing,mechanism,whistleblowing,mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,city,datum,citizen,city,vision,city,control,imaginary,city,city,regime,agenda,component,formation,city,interplay,city,city,city,system,governance,initiative,imaginary,language,level,policy,pathway,influence,stream,imaginary,vision,agenda,policy,adoption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,disability,mortality,burden,biomarker,change,tissue,mechanism,fellow,network,mentor,organization,processing,assessment,porosity,bone,muscle,biomarker,woman,measure,porosity,muscle,bone,bone,muscle,biomarker,woman,information,bone,muscle,biomarker,target,audience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,reform,century,network,reform,count,monarchy,reform,monarchy,state,system,vision,liberty,monarchy,network,vision,language,republicanism,monarchism,law,economy,network,concept,vision,competition,reform,count,scholarship,reform,relationship,state,concept,liberty,century,origin,republicanism,monarchism,imaginary,vision,liberty,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,reform,century,network,reform,count,monarchy,reform,monarchy,state,system,vision,liberty,monarchy,network,vision,language,republicanism,monarchism,law,economy,network,concept,vision,competition,reform,count,scholarship,reform,relationship,state,concept,liberty,century,origin,republicanism,monarchism,imaginary,vision,liberty,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,reform,century,network,reform,count,monarchy,reform,monarchy,state,system,vision,liberty,monarchy,network,vision,language,republicanism,monarchism,law,economy,network,concept,vision,competition,reform,count,scholarship,reform,relationship,state,concept,liberty,century,origin,republicanism,monarchism,imaginary,vision,liberty,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
